Time,Time Code,Country Name,Country Code,Average transaction cost of sending remittances from a specific country (%) [SI.RMT.COST.OB.ZS],Average transaction cost of sending remittances to a specific country (%) [SI.RMT.COST.IB.ZS],"Personal remittances, paid (current US$) [BM.TRF.PWKR.CD.DT]","Personal remittances, received (% of GDP) [BX.TRF.PWKR.DT.GD.ZS]","Personal remittances, received (current US$) [BX.TRF.PWKR.CD.DT]","Automated teller machines (ATMs) (per 100,000 adults) [FB.ATM.TOTL.P5]"
1971,YR1971,Afghanistan,AFG,..,..,..,..,..,..
1971,YR1971,Albania,ALB,..,..,..,..,..,..
1971,YR1971,Algeria,DZA,..,..,..,4.68760244869506,238000000,..
1971,YR1971,American Samoa,ASM,..,..,..,..,..,..
1971,YR1971,Andorra,AND,..,..,..,..,..,..
1971,YR1971,Angola,AGO,..,..,..,..,..,..
1971,YR1971,Antigua and Barbuda,ATG,..,..,..,..,..,..
1971,YR1971,Argentina,ARG,..,..,..,..,..,..
1971,YR1971,Armenia,ARM,..,..,..,..,..,..
1971,YR1971,Aruba,ABW,..,..,..,..,..,..
1971,YR1971,Australia,AUS,..,..,83962074.28,0.389918955468373,176046508.8,..
1971,YR1971,Austria,AUT,..,..,46596698.76,0.138646769441532,24760213.85,..
1971,YR1971,Azerbaijan,AZE,..,..,..,..,..,..
1971,YR1971,"Bahamas, The",BHS,..,..,..,..,..,..
1971,YR1971,Bahrain,BHR,..,..,..,..,..,..
1971,YR1971,Bangladesh,BGD,..,..,..,..,..,..
1971,YR1971,Barbados,BRB,..,..,354452.5802,..,4607883.93,..
1971,YR1971,Belarus,BLR,..,..,..,..,..,..
1971,YR1971,Belgium,BEL,..,..,..,..,..,..
1971,YR1971,Belize,BLZ,..,..,..,..,..,..
1971,YR1971,Benin,BEN,..,..,..,..,..,..
1971,YR1971,Bermuda,BMU,..,..,..,..,..,..
1971,YR1971,Bhutan,BTN,..,..,..,..,..,..
1971,YR1971,Bolivia,BOL,..,..,..,..,..,..
